,id,first_name,height_feet,height_inches,last_name,position,weight_pounds,abbreviation,city,conference,division,full_name,name
1818,2313,Tom,,,Owens,,,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1819,2314,Allan,,,Bristow,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1820,2315,Ben,,,Poquette,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1821,2316,Don,,,Williams,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1822,2317,Greg,,,Deane,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1823,2318,James,,,Hardy,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1824,2319,John,,,Gianelli,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1825,2320,Paul,,,Dawkins,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1826,2321,Pete,,,Maravich,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1827,2322,Robert,,,Smith,,,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1828,2323,Bob,,,Lanier,,,DET,Detroit,East,Central,Detroit Pistons,Pistons
1829,2324,Bob,,,McAdoo,,,DET,Detroit,East,Central,Detroit Pistons,Pistons
1830,2325,Greg,,,Kelser,,,DET,Detroit,East,Central,Detroit Pistons,Pistons
1831,2326,Jim,,,McElroy,,,DET,Detroit,East,Central,Detroit Pistons,Pistons
1832,2327,John,,,Shumate,,,DET,Detroit,East,Central,Detroit Pistons,Pistons
