,id,first_name,height_feet,height_inches,last_name,position,weight_pounds,abbreviation,city,conference,division,full_name,name
1605,2066,Adonis,,,Thomas,,,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1606,2067,Chris,,,Babb,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1607,2068,Tony,,,Mitchell,,,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1608,2069,Justin,,,Hamilton,,,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1609,2070,Jorge,,,Gutierrez,,,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1610,2071,Shane,,,Edwards,,,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1611,2072,Casper,,,Ware,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1612,2074,Willie,,,Reed,,,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1613,2077,Kostas,,,Papanikolaou,,,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1614,2078,PJ,,,Hairston,,,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1615,2079,KJ,,,McDaniels,,,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1616,2081,Damjan,,,Rudez,,,IND,Indiana,East,Central,Indiana Pacers,Pacers
1617,2082,Shayne,,,Whittington,,,IND,Indiana,East,Central,Indiana Pacers,Pacers
1618,2083,Cory,,,Jefferson,,,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1619,2084,James,,,Young,,,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1620,2085,Lucas,,,Nogueira,,,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1621,2086,Jordan,,,Adams,,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1622,2087,Jarnell,,,Stokes,,,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1623,2088,Tyler,,,Ennis,,,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1624,2089,Cameron,,,Bairstow,,,CHI,Chicago,East,Central,Chicago Bulls,Bulls
1625,2090,Cleanthony,,,Early,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
1626,2091,Travis,,,Wear,,,NYK,New York,East,Atlantic,New York Knicks,Knicks
